"Date","Price","Open","High","Low","Vol.","Change %"
"May 26, 2021","242.56","229.00","248.48","225.55","21.12M","15.82%"
"May 25, 2021","209.43","181.00","217.11","181.00","14.89M","16.34%"
"May 24, 2021","180.01","175.85","188.46","173.35","4.66M","1.82%"
"May 21, 2021","176.79","171.00","179.24","170.33","3.65M","3.70%"
"May 20, 2021","170.49","170.79","174.91","166.90","2.48M","0.98%"
"May 19, 2021","168.83","171.99","178.98","164.15","4.83M","-6.55%"
"May 18, 2021","180.67","174.54","189.20","168.27","7.74M","0.04%"
"May 17, 2021","180.60","159.85","182.50","159.00","7.46M","12.93%"
"May 14, 2021","159.92","160.00","166.47","156.22","4.29M","-2.78%"
"May 13, 2021","164.50","147.44","169.95","146.43","8.87M","13.61%"
"May 12, 2021","144.79","145.70","150.50","142.23","2.73M","-1.45%"
"May 11, 2021","146.92","137.00","150.50","136.50","4.68M","2.58%"
"May 10, 2021","143.22","161.31","161.59","143.00","4.81M","-11.10%"
"May 07, 2021","161.11","160.11","167.41","157.50","2.93M","0.06%"
"May 06, 2021","161.01","160.86","164.72","155.60","2.94M","0.96%"
"May 05, 2021","159.48","161.83","165.50","158.33","2.71M","-0.78%"
"May 04, 2021","160.73","159.00","161.49","151.80","4.01M","-0.91%"
"May 03, 2021","162.20","177.49","177.49","159.61","5.26M","-6.56%"
"Apr 30, 2021","173.59","175.00","183.80","172.70","4.43M","-1.48%"
"Apr 29, 2021","176.19","176.56","180.86","170.75","3.76M","-1.34%"
"Apr 28, 2021","178.58","172.10","181.98","166.03","5.79M","0.46%"
"Apr 27, 2021","177.77","183.55","188.00","173.17","8.93M","5.23%"
"Apr 26, 2021","168.93","150.98","174.68","148.76","10.53M","11.74%"
"Apr 23, 2021","151.18","149.00","153.66","144.70","4.04M","0.01%"
"Apr 22, 2021","151.17","159.10","159.10","146.86","4.35M","-4.63%"
"Apr 21, 2021","158.51","158.40","162.98","155.92","3.81M","-0.01%"
"Apr 20, 2021","158.53","164.14","164.89","153.36","4.66M","-3.55%"
"Apr 19, 2021","164.37","171.80","175.20","162.33","10.52M","6.26%"
"Apr 16, 2021","154.69","156.00","160.20","151.25","5.21M","-1.12%"
"Apr 15, 2021","156.44","163.00","166.25","152.80","7.86M","-6.06%"
"Apr 14, 2021","166.53","143.57","174.09","143.00","21.14M","18.11%"
"Apr 13, 2021","140.99","141.88","145.38","132.00","6.81M","-0.07%"
"Apr 12, 2021","141.09","158.11","163.90","135.01","16.68M","-10.91%"
"Apr 09, 2021","158.36","169.70","171.58","153.00","9.46M","-6.99%"
"Apr 08, 2021","170.26","185.88","185.88","164.30","10.05M","-4.33%"
"Apr 07, 2021","177.97","183.22","184.50","176.11","4.77M","-3.54%"
"Apr 06, 2021","184.50","185.21","192.00","183.56","6.22M","-1.31%"
"Apr 05, 2021","186.95","171.00","195.00","164.81","14.07M","-2.35%"
"Apr 01, 2021","191.45","193.36","196.97","183.60","9.33M","0.86%"
"Mar 31, 2021","189.82","197.50","199.46","187.11","8.39M","-2.39%"
"Mar 30, 2021","194.46","187.50","204.30","182.00","17.09M","7.26%"
"Mar 29, 2021","181.30","180.75","193.92","173.51","10.04M","0.17%"
"Mar 26, 2021","181.00","197.68","218.93","163.26","37.43M","-1.50%"
"Mar 25, 2021","183.75","123.49","187.50","116.90","50.96M","52.69%"
"Mar 24, 2021","120.34","157.98","166.97","118.62","24.18M","-33.79%"
"Mar 23, 2021","181.75","197.50","201.75","177.55","14.43M","-6.55%"
"Mar 22, 2021","194.49","205.26","210.36","186.20","10.06M","-2.89%"
"Mar 19, 2021","200.27","195.73","227.00","182.66","24.68M","-0.73%"
"Mar 18, 2021","201.75","214.00","218.88","195.65","11.80M","-3.84%"
"Mar 17, 2021","209.81","217.84","231.47","204.00","16.48M","0.79%"
"Mar 16, 2021","208.17","203.16","220.70","172.35","35.42M","-5.44%"
"Mar 15, 2021","220.14","277.52","283.00","206.00","24.23M","-16.77%"
"Mar 12, 2021","264.50","275.00","295.50","262.27","25.85M","1.73%"
"Mar 11, 2021","260.00","241.64","281.50","232.60","28.31M","-1.89%"
"Mar 10, 2021","265.00","269.43","348.50","172.00","71.57M","7.33%"
"Mar 09, 2021","246.90","217.71","249.85","208.51","39.10M","26.94%"
"Mar 08, 2021","194.50","154.89","210.87","146.10","63.57M","41.21%"
"Mar 05, 2021","137.74","128.17","151.53","127.50","30.73M","4.07%"
"Mar 04, 2021","132.35","125.00","147.87","115.30","32.61M","6.58%"
"Mar 03, 2021","124.18","122.51","127.75","113.12","19.27M","5.08%"
"Mar 02, 2021","118.18","116.93","133.20","112.20","33.78M","-1.84%"
"Mar 01, 2021","120.40","104.54","133.99","99.97","49.79M","18.34%"
"Feb 26, 2021","101.74","117.46","142.90","86.00","92.19M","-6.43%"
"Feb 25, 2021","108.73","169.56","184.68","101.00","150.31M","18.56%"
"Feb 24, 2021","91.71","44.70","91.71","44.70","83.11M","103.94%"
"Feb 23, 2021","44.97","44.97","46.23","40.00","7.57M","-2.24%"
"Feb 22, 2021","46.00","46.69","48.51","42.40","19.48M","13.33%"
"Feb 19, 2021","40.59","41.28","43.89","38.50","14.83M","-0.25%"
"Feb 18, 2021","40.69","48.49","48.87","40.65","23.99M","-11.43%"
"Feb 17, 2021","45.94","49.77","51.19","44.56","9.26M","-7.21%"
"Feb 16, 2021","49.51","52.66","53.50","49.04","8.18M","-5.52%"
"Feb 12, 2021","52.40","50.75","55.24","48.05","14.57M","2.54%"
"Feb 11, 2021","51.10","50.01","55.32","48.22","13.06M","-0.20%"
"Feb 10, 2021","51.20","50.77","62.83","46.55","36.46M","1.77%"
"Feb 09, 2021","50.31","56.61","57.00","46.52","26.84M","-16.15%"
"Feb 08, 2021","60.00","72.41","72.66","58.02","25.69M","-5.91%"
"Feb 05, 2021","63.77","54.04","95.00","51.09","81.35M","19.20%"
"Feb 04, 2021","53.50","91.19","91.50","53.33","62.43M","-42.11%"
"Feb 03, 2021","92.41","112.01","113.40","85.25","42.70M","2.68%"
"Feb 02, 2021","90.00","140.76","158.00","74.22","78.18M","-60.00%"
"Feb 01, 2021","225.00","316.56","322.00","212.00","37.38M","-30.77%"
"Jan 29, 2021","325.00","379.71","413.98","250.00","50.57M","67.87%"
"Jan 28, 2021","193.60","265.00","483.00","112.25","58.82M","-44.29%"
"Jan 27, 2021","347.51","354.83","380.00","249.00","93.40M","134.84%"
"Jan 26, 2021","147.98","88.56","150.00","80.20","178.59M","92.71%"
"Jan 25, 2021","76.79","96.73","159.18","61.13","177.87M","18.12%"
"Jan 22, 2021","65.01","42.59","76.76","42.32","197.16M","51.08%"
"Jan 21, 2021","43.03","39.23","44.75","37.00","57.08M","9.99%"
"Jan 20, 2021","39.12","37.37","41.19","36.06","33.47M","-0.61%"
"Jan 19, 2021","39.36","41.55","45.52","36.64","74.72M","10.87%"
"Jan 15, 2021","35.50","38.49","40.75","34.01","46.87M","-11.05%"
"Jan 14, 2021","39.91","38.09","43.06","33.05","93.72M","27.10%"
"Jan 13, 2021","31.40","20.42","38.65","20.03","144.50M","57.39%"
"Jan 12, 2021","19.95","19.96","20.40","19.32","7.06M","0.05%"
"Jan 11, 2021","19.94","19.41","20.65","19.01","14.93M","12.72%"
"Jan 08, 2021","17.69","18.18","18.30","17.08","6.48M","-2.16%"
"Jan 07, 2021","18.08","18.47","19.45","18.02","6.13M","-1.53%"
"Jan 06, 2021","18.36","17.34","18.98","17.33","6.06M","5.70%"
"Jan 05, 2021","17.37","17.35","18.08","17.23","4.96M","0.70%"
"Jan 04, 2021","17.25","19.00","19.10","17.15","10.02M","-8.44%"
