"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 14, 2021","34,393.75","34,472.52","34,472.52","34,211.54","302.55M","-0.25%"
"Jun 11, 2021","34,479.60","34,499.81","34,618.09","34,328.65","262.62M","0.04%"
"Jun 10, 2021","34,466.24","34,502.51","34,737.79","34,447.25","310.88M","0.06%"
"Jun 09, 2021","34,447.14","34,626.16","34,654.67","34,439.37","246.54M","-0.44%"
"Jun 08, 2021","34,599.82","34,645.84","34,665.38","34,452.94","296.09M","-0.09%"
"Jun 07, 2021","34,630.24","34,766.20","34,820.91","34,574.51","259.44M","-0.36%"
"Jun 04, 2021","34,756.39","34,618.69","34,772.12","34,618.69","271.56M","0.52%"
"Jun 03, 2021","34,577.04","34,550.31","34,667.41","34,334.41","299.74M","-0.07%"
"Jun 02, 2021","34,600.38","34,614.62","34,706.65","34,545.96","265.16M","0.07%"
"Jun 01, 2021","34,575.31","34,584.19","34,849.32","34,542.87","294.79M","0.13%"
"May 28, 2021","34,529.45","34,558.50","34,631.11","34,520.09","290.85M","0.19%"
"May 27, 2021","34,464.64","34,432.47","34,608.82","34,389.24","520.63M","0.41%"
"May 26, 2021","34,323.05","34,336.34","34,409.59","34,271.44","259.81M","0.03%"
"May 25, 2021","34,312.46","34,428.66","34,511.35","34,266.03","289.95M","-0.24%"
"May 24, 2021","34,393.98","34,253.87","34,472.51","34,253.87","251.81M","0.54%"
"May 21, 2021","34,207.84","34,121.91","34,415.48","34,121.91","308.84M","0.36%"
"May 20, 2021","34,084.15","33,906.30","34,233.40","33,872.41","324.40M","0.55%"
"May 19, 2021","33,896.04","33,945.81","33,945.81","33,473.80","354.00M","-0.48%"
"May 18, 2021","34,060.66","34,351.18","34,408.99","34,044.10","301.78M","-0.78%"
"May 17, 2021","34,327.79","34,375.29","34,383.84","34,176.65","293.36M","-0.16%"
"May 14, 2021","34,382.13","34,050.86","34,454.05","34,050.86","307.38M","1.06%"
"May 13, 2021","34,021.45","33,624.74","34,181.77","33,623.49","352.81M","1.29%"
"May 12, 2021","33,587.66","34,206.40","34,207.87","33,555.22","383.58M","-1.99%"
"May 11, 2021","34,269.16","34,572.74","34,572.74","34,075.31","413.18M","-1.36%"
"May 10, 2021","34,742.82","34,785.27","35,091.56","34,741.57","370.04M","-0.10%"
"May 07, 2021","34,777.76","34,578.27","34,811.39","34,464.31","311.63M","0.66%"
"May 06, 2021","34,548.53","34,245.11","34,561.29","34,185.06","317.12M","0.93%"
"May 05, 2021","34,230.34","34,163.99","34,331.20","34,039.66","255.81M","0.29%"
"May 04, 2021","34,133.03","34,080.20","34,147.78","33,765.68","410.17M","0.06%"
"May 03, 2021","34,113.23","33,904.89","34,221.06","33,904.89","291.34M","0.70%"
"Apr 30, 2021","33,874.85","33,988.75","33,988.75","33,784.96","376.11M","-0.54%"
"Apr 29, 2021","34,060.36","33,855.64","34,087.21","33,744.28","409.60M","0.71%"
"Apr 28, 2021","33,820.38","33,860.46","33,946.60","33,805.56","353.02M","-0.48%"
"Apr 27, 2021","33,984.93","33,932.13","34,043.98","33,870.46","294.95M","0.01%"
"Apr 26, 2021","33,981.57","34,044.23","34,148.94","33,941.37","285.41M","-0.18%"
"Apr 23, 2021","34,043.49","33,804.52","34,157.57","33,713.29","349.67M","0.67%"
"Apr 22, 2021","33,815.90","34,109.88","34,126.57","33,717.19","346.58M","-0.94%"
"Apr 21, 2021","34,137.31","33,808.30","34,160.34","33,773.80","293.51M","0.93%"
"Apr 20, 2021","33,821.30","34,034.18","34,034.18","33,687.01","354.20M","-0.75%"
"Apr 19, 2021","34,077.63","34,182.38","34,182.38","33,980.56","315.62M","-0.36%"
"Apr 16, 2021","34,200.67","34,058.16","34,256.75","34,058.16","348.18M","0.48%"
"Apr 15, 2021","34,035.99","33,788.53","34,068.73","33,788.53","321.83M","0.90%"
"Apr 14, 2021","33,730.89","33,668.95","33,911.25","33,668.95","318.67M","0.16%"
"Apr 13, 2021","33,677.27","33,721.16","33,741.64","33,545.84","330.00M","-0.20%"
"Apr 12, 2021","33,745.40","33,775.06","33,786.19","33,665.54","329.02M","-0.16%"
"Apr 09, 2021","33,800.60","33,526.19","33,810.87","33,526.19","317.82M","0.89%"
"Apr 08, 2021","33,503.57","33,469.89","33,506.80","33,342.64","306.19M","0.17%"
"Apr 07, 2021","33,446.26","33,444.98","33,521.76","33,347.96","279.88M","0.05%"
"Apr 06, 2021","33,430.24","33,500.02","33,544.79","33,380.43","298.31M","-0.29%"
"Apr 05, 2021","33,527.19","33,222.38","33,617.95","33,222.38","345.15M","1.13%"
"Apr 01, 2021","33,153.21","33,054.58","33,167.17","32,985.35","318.34M","0.52%"
"Mar 31, 2021","32,981.55","33,116.04","33,173.77","32,980.57","418.64M","-0.26%"
"Mar 30, 2021","33,066.96","33,127.88","33,170.93","32,988.92","309.57M","-0.31%"
"Mar 29, 2021","33,171.37","33,087.55","33,259.00","32,905.13","351.61M","0.30%"
"Mar 26, 2021","33,072.88","32,681.07","33,098.83","32,681.07","383.45M","1.39%"
"Mar 25, 2021","32,619.48","32,346.81","32,672.69","32,071.41","413.49M","0.62%"
"Mar 24, 2021","32,420.06","32,470.88","32,787.99","32,418.15","405.06M","-0.01%"
"Mar 23, 2021","32,423.15","32,691.50","32,753.77","32,356.28","388.13M","-0.94%"
"Mar 22, 2021","32,731.20","32,601.82","32,810.35","32,512.53","384.32M","0.32%"
"Mar 19, 2021","32,627.97","32,858.36","32,858.36","32,505.07","847.02M","-0.71%"
"Mar 18, 2021","32,862.30","32,928.16","33,227.78","32,831.25","421.02M","-0.46%"
"Mar 17, 2021","33,015.37","32,825.52","33,047.58","32,782.18","391.81M","0.58%"
"Mar 16, 2021","32,825.95","32,966.75","32,966.75","32,778.23","387.91M","-0.39%"
"Mar 15, 2021","32,953.46","32,798.84","32,973.40","32,629.75","362.08M","0.53%"
"Mar 12, 2021","32,778.64","32,462.40","32,793.32","32,462.40","348.29M","0.90%"
"Mar 11, 2021","32,485.59","32,354.50","32,661.59","32,345.70","402.40M","0.58%"
"Mar 10, 2021","32,297.02","31,906.96","32,389.50","31,906.96","410.23M","1.46%"
"Mar 09, 2021","31,832.74","31,892.35","32,150.32","31,822.64","463.74M","0.10%"
"Mar 08, 2021","31,802.44","31,512.15","32,148.04","31,512.15","499.58M","0.97%"
"Mar 05, 2021","31,496.30","31,029.18","31,580.33","30,766.81","505.35M","1.85%"
"Mar 04, 2021","30,924.14","31,289.01","31,461.97","30,547.53","551.23M","-1.11%"
"Mar 03, 2021","31,270.09","31,352.96","31,563.31","31,260.14","411.61M","-0.39%"
"Mar 02, 2021","31,391.52","31,535.37","31,623.27","31,377.16","341.28M","-0.46%"
"Mar 01, 2021","31,535.51","31,065.90","31,668.34","31,065.90","387.58M","1.95%"
"Feb 26, 2021","30,932.37","31,401.29","31,450.89","30,911.37","538.91M","-1.50%"
"Feb 25, 2021","31,402.01","31,955.94","31,984.77","31,293.32","458.96M","-1.75%"
"Feb 24, 2021","31,961.86","31,499.75","32,009.64","31,421.29","413.35M","1.35%"
"Feb 23, 2021","31,537.35","31,501.89","31,653.38","31,158.76","461.92M","0.05%"
"Feb 22, 2021","31,521.69","31,381.12","31,653.48","31,286.57","389.68M","0.09%"
"Feb 19, 2021","31,494.32","31,504.13","31,647.53","31,469.34","353.07M","0.00%"
"Feb 18, 2021","31,493.34","31,558.60","31,558.60","31,285.32","325.99M","-0.38%"
"Feb 17, 2021","31,613.02","31,485.61","31,643.70","31,338.76","345.86M","0.29%"
"Feb 16, 2021","31,522.75","31,472.08","31,608.63","31,443.48","336.99M","0.20%"
"Feb 12, 2021","31,458.40","31,420.80","31,475.31","31,347.80","266.37M","0.09%"
"Feb 11, 2021","31,430.70","31,466.49","31,543.82","31,244.36","284.68M","-0.02%"
"Feb 10, 2021","31,437.80","31,428.02","31,511.44","31,221.32","328.39M","0.20%"
"Feb 09, 2021","31,375.83","31,359.88","31,439.47","31,245.86","310.14M","-0.03%"
"Feb 08, 2021","31,385.76","31,191.20","31,386.10","31,191.20","328.41M","0.76%"
"Feb 05, 2021","31,148.24","31,093.81","31,252.18","31,083.22","295.00M","0.30%"
"Feb 04, 2021","31,055.86","30,737.78","31,065.96","30,737.78","341.49M","1.08%"
"Feb 03, 2021","30,723.60","30,689.65","30,793.41","30,521.31","307.31M","0.12%"
"Feb 02, 2021","30,687.48","30,276.88","30,840.54","30,276.88","338.17M","1.57%"
"Feb 01, 2021","30,211.91","30,054.73","30,335.91","30,014.97","350.24M","0.76%"
"Jan 29, 2021","29,982.62","30,553.91","30,553.91","29,856.30","538.04M","-2.03%"
"Jan 28, 2021","30,603.36","30,377.19","30,951.41","30,377.19","467.34M","0.99%"
"Jan 27, 2021","30,303.17","30,893.78","30,893.78","30,206.91","566.47M","-2.05%"
"Jan 26, 2021","30,937.04","30,968.55","31,121.42","30,921.71","381.87M","-0.07%"
"Jan 25, 2021","30,960.00","30,989.85","30,989.85","30,564.06","477.35M","-0.12%"
"Jan 22, 2021","30,996.98","31,141.56","31,141.56","30,908.47","436.04M","-0.57%"
"Jan 21, 2021","31,176.01","31,198.01","31,272.22","31,120.92","423.15M","-0.04%"
"Jan 20, 2021","31,188.38","31,017.54","31,235.98","30,997.79","384.98M","0.83%"
"Jan 19, 2021","30,930.52","30,887.42","31,086.62","30,865.03","387.75M","0.38%"
"Jan 15, 2021","30,814.26","30,926.77","30,941.98","30,612.67","440.02M","-0.57%"
"Jan 14, 2021","30,991.52","31,085.67","31,223.78","30,982.24","429.70M","-0.22%"
"Jan 13, 2021","31,060.47","31,084.88","31,153.37","30,992.05","415.14M","-0.03%"
"Jan 12, 2021","31,068.69","31,015.01","31,114.56","30,888.76","362.87M","0.19%"
"Jan 11, 2021","31,008.69","31,015.37","31,096.98","30,832.06","363.79M","-0.29%"
"Jan 08, 2021","31,097.97","31,069.58","31,140.67","30,793.27","385.65M","0.18%"
"Jan 07, 2021","31,041.13","30,901.18","31,193.40","30,897.86","430.62M","0.69%"
"Jan 06, 2021","30,829.40","30,362.78","31,022.65","30,313.07","500.43M","1.44%"
"Jan 05, 2021","30,391.60","30,204.25","30,504.89","30,141.78","350.91M","0.55%"
"Jan 04, 2021","30,223.89","30,627.47","30,674.28","29,881.82","476.73M","-1.25%"
