"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 28, 2021","2,322.34","2,335.34","2,342.19","2,307.22","-","-0.52%"
"Jun 25, 2021","2,334.40","2,336.86","2,350.22","2,334.40","-","0.03%"
"Jun 24, 2021","2,333.62","2,305.41","2,333.66","2,305.41","-","1.31%"
"Jun 23, 2021","2,303.47","2,296.40","2,314.30","2,296.40","-","0.33%"
"Jun 22, 2021","2,295.95","2,285.46","2,298.36","2,266.16","-","0.43%"
"Jun 21, 2021","2,286.09","2,238.62","2,289.76","2,238.62","-","2.16%"
"Jun 18, 2021","2,237.75","2,284.96","2,284.96","2,229.58","-","-2.17%"
"Jun 17, 2021","2,287.46","2,314.20","2,316.60","2,264.12","-","-1.18%"
"Jun 16, 2021","2,314.69","2,319.09","2,321.91","2,296.21","-","-0.23%"
"Jun 15, 2021","2,320.07","2,326.76","2,327.87","2,301.78","-","-0.26%"
"Jun 14, 2021","2,326.15","2,337.45","2,348.64","2,320.17","-","-0.41%"
"Jun 11, 2021","2,335.81","2,312.60","2,335.81","2,312.60","-","1.06%"
"Jun 10, 2021","2,311.41","2,327.98","2,337.76","2,305.71","-","-0.68%"
"Jun 09, 2021","2,327.13","2,344.82","2,350.70","2,325.56","-","-0.71%"
"Jun 08, 2021","2,343.76","2,319.57","2,348.35","2,316.17","-","1.06%"
"Jun 07, 2021","2,319.18","2,286.93","2,321.64","2,286.93","-","1.43%"
"Jun 04, 2021","2,286.41","2,281.07","2,293.68","2,277.44","-","0.31%"
"Jun 03, 2021","2,279.25","2,296.57","2,296.57","2,257.00","-","-0.81%"
"Jun 02, 2021","2,297.83","2,295.66","2,302.22","2,285.05","-","0.13%"
"Jun 01, 2021","2,294.74","2,270.38","2,298.72","2,270.38","-","1.62%"
"May 31, 2021","2,258.25","2,267.50","2,267.70","2,256.55","-","-0.47%"
"May 28, 2021","2,268.97","2,273.82","2,285.07","2,264.92","-","-0.18%"
"May 27, 2021","2,273.07","2,250.73","2,277.62","2,250.73","-","1.06%"
"May 26, 2021","2,249.27","2,207.35","2,250.61","2,207.35","-","1.97%"
"May 25, 2021","2,205.75","2,229.24","2,247.81","2,205.73","-","-0.97%"
"May 24, 2021","2,227.34","2,223.05","2,237.13","2,218.15","-","0.54%"
"May 21, 2021","2,215.27","2,210.21","2,236.83","2,210.21","-","0.34%"
"May 20, 2021","2,207.76","2,194.69","2,210.92","2,184.41","-","0.64%"
"May 19, 2021","2,193.64","2,205.77","2,205.77","2,159.14","-","-0.78%"
"May 18, 2021","2,210.88","2,227.92","2,244.43","2,210.43","-","-0.73%"
"May 17, 2021","2,227.12","2,222.86","2,227.46","2,197.10","-","0.11%"
"May 14, 2021","2,224.63","2,171.14","2,226.39","2,171.14","-","2.47%"
"May 13, 2021","2,170.95","2,135.23","2,185.24","2,133.97","-","1.68%"
"May 12, 2021","2,135.14","2,205.02","2,205.02","2,132.25","-","-3.26%"
"May 11, 2021","2,206.99","2,206.48","2,215.69","2,157.14","-","-0.26%"
"May 10, 2021","2,212.70","2,271.09","2,271.24","2,212.59","-","-2.59%"
"May 07, 2021","2,271.63","2,242.10","2,271.81","2,240.56","-","1.35%"
"May 06, 2021","2,241.42","2,240.21","2,242.03","2,205.59","-","0.00%"
"May 05, 2021","2,241.37","2,250.13","2,260.00","2,232.86","-","-0.31%"
"May 04, 2021","2,248.29","2,275.10","2,275.10","2,225.70","-","-1.28%"
"May 03, 2021","2,277.45","2,268.62","2,288.57","2,267.78","-","0.49%"
"Apr 30, 2021","2,266.45","2,292.49","2,292.49","2,259.30","-","-1.26%"
"Apr 29, 2021","2,295.46","2,307.07","2,322.91","2,278.42","-","-0.38%"
"Apr 28, 2021","2,304.16","2,301.10","2,309.82","2,291.28","-","0.13%"
"Apr 27, 2021","2,301.27","2,298.83","2,309.80","2,294.41","-","0.14%"
"Apr 26, 2021","2,298.01","2,275.34","2,302.38","2,275.34","-","1.15%"
"Apr 23, 2021","2,271.86","2,233.72","2,281.22","2,233.72","-","1.76%"
"Apr 22, 2021","2,232.61","2,240.87","2,268.53","2,227.49","-","-0.31%"
"Apr 21, 2021","2,239.63","2,187.48","2,240.46","2,175.43","-","2.35%"
"Apr 20, 2021","2,188.21","2,231.13","2,231.13","2,171.68","-","-1.96%"
"Apr 19, 2021","2,232.00","2,261.11","2,261.11","2,219.05","-","-1.36%"
"Apr 16, 2021","2,262.67","2,258.29","2,273.15","2,251.73","-","0.25%"
"Apr 15, 2021","2,257.07","2,249.42","2,264.16","2,240.75","-","0.42%"
"Apr 14, 2021","2,247.72","2,230.16","2,272.85","2,230.16","-","0.84%"
"Apr 13, 2021","2,228.92","2,233.99","2,237.38","2,208.20","-","-0.22%"
"Apr 12, 2021","2,233.78","2,244.33","2,244.33","2,222.21","-","-0.43%"
"Apr 09, 2021","2,243.47","2,241.97","2,245.99","2,231.03","-","0.04%"
"Apr 08, 2021","2,242.60","2,225.19","2,243.00","2,213.84","-","0.88%"
"Apr 07, 2021","2,223.05","2,259.15","2,259.15","2,217.78","-","-1.60%"
