"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 24, 2021","56.70","57.98","58.76","55.66","79.58M","-2.74%"
"Jun 23, 2021","58.30","56.88","60.99","56.83","116.29M","0.05%"
"Jun 22, 2021","58.27","53.90","58.72","51.07","169.49M","4.63%"
"Jun 21, 2021","55.69","61.34","63.01","53.43","185.88M","-6.02%"
"Jun 18, 2021","59.26","61.26","64.95","56.85","243.65M","-2.42%"
"Jun 17, 2021","60.73","54.00","63.83","52.98","303.58M","10.06%"
"Jun 16, 2021","55.18","56.14","57.34","51.86","166.45M","-6.54%"
"Jun 15, 2021","59.04","58.39","64.71","56.73","285.58M","3.58%"
"Jun 14, 2021","57.00","51.83","60.55","51.52","301.47M","15.38%"
"Jun 11, 2021","49.40","44.68","49.60","42.01","218.01M","15.39%"
"Jun 10, 2021","42.81","47.93","51.50","39.71","224.86M","-13.23%"
"Jun 09, 2021","49.34","52.20","53.39","48.12","150.36M","-10.37%"
"Jun 08, 2021","55.05","57.16","60.62","52.77","214.49M","0.09%"
"Jun 07, 2021","55.00","52.38","59.68","51.50","349.09M","14.80%"
"Jun 04, 2021","47.91","48.79","57.48","46.04","337.71M","-6.68%"
"Jun 03, 2021","51.34","58.10","68.80","37.66","598.14M","-17.92%"
"Jun 02, 2021","62.55","37.52","72.62","35.59","766.46M","95.22%"
"Jun 01, 2021","32.04","31.89","33.53","28.53","508.69M","22.66%"
"May 28, 2021","26.12","31.81","36.72","24.17","660.62M","-1.51%"
"May 27, 2021","26.52","18.61","29.76","18.31","705.55M","35.58%"
"May 26, 2021","19.56","17.76","19.95","17.26","379.06M","19.20%"
"May 25, 2021","16.41","13.61","16.67","13.55","213.64M","19.96%"
"May 24, 2021","13.68","12.38","13.96","12.17","113.32M","13.25%"
"May 21, 2021","12.08","12.61","12.84","12.05","53.94M","-3.75%"
"May 20, 2021","12.55","12.59","12.99","12.03","61.42M","-0.71%"
"May 19, 2021","12.64","12.95","13.31","12.14","89.02M","-9.91%"
"May 18, 2021","14.03","14.25","14.67","13.57","172.49M","0.57%"
"May 17, 2021","13.95","13.67","14.38","13.39","158.93M","7.47%"
"May 14, 2021","12.98","13.31","14.34","12.57","207.59M","1.64%"
"May 13, 2021","12.77","10.88","14.20","10.64","296.52M","23.74%"
"May 12, 2021","10.32","10.03","10.62","10.02","54.42M","2.69%"
"May 11, 2021","10.05","9.93","10.48","9.60","49.60M","3.18%"
"May 10, 2021","9.74","9.90","10.15","9.56","41.02M","2.42%"
"May 07, 2021","9.51","9.32","9.79","9.14","38.24M","5.67%"
"May 06, 2021","9.00","9.33","9.40","8.93","39.59M","-1.85%"
"May 05, 2021","9.17","9.41","9.57","9.08","27.61M","-2.34%"
"May 04, 2021","9.39","9.62","9.75","9.05","35.22M","-3.30%"
"May 03, 2021","9.71","10.11","10.12","9.61","31.25M","-3.19%"
"Apr 30, 2021","10.03","10.07","10.18","9.88","27.74M","-1.67%"
"Apr 29, 2021","10.20","10.95","11.04","10.09","37.78M","-5.99%"
"Apr 28, 2021","10.85","10.85","11.39","10.65","39.72M","-5.32%"
"Apr 27, 2021","11.46","11.68","12.22","11.22","51.63M","-0.35%"
"Apr 26, 2021","11.50","10.69","11.96","10.57","78.59M","13.19%"
"Apr 23, 2021","10.16","10.09","10.38","9.96","27.60M","1.70%"
"Apr 22, 2021","9.99","9.95","10.65","9.79","49.92M","2.15%"
"Apr 21, 2021","9.78","9.25","9.81","9.14","23.60M","5.39%"
"Apr 20, 2021","9.28","9.70","9.71","9.01","27.01M","-3.93%"
"Apr 19, 2021","9.66","9.48","9.81","9.38","32.81M","3.54%"
"Apr 16, 2021","9.33","10.00","10.03","9.09","40.70M","-5.76%"
"Apr 15, 2021","9.90","9.88","10.23","9.58","45.20M","5.88%"
"Apr 14, 2021","9.35","9.00","9.81","8.90","51.17M","5.77%"
"Apr 13, 2021","8.84","8.66","9.12","8.31","44.05M","2.55%"
"Apr 12, 2021","8.62","9.44","9.49","8.51","51.27M","-8.49%"
"Apr 09, 2021","9.42","9.60","9.74","9.24","29.25M","-3.78%"
"Apr 08, 2021","9.79","10.01","10.01","9.50","33.41M","-0.61%"
"Apr 07, 2021","9.85","10.07","10.18","9.85","28.80M","-3.43%"
"Apr 06, 2021","10.20","10.40","10.50","10.00","44.07M","-3.86%"
"Apr 05, 2021","10.61","10.10","11.25","9.72","96.08M","13.35%"
"Apr 01, 2021","9.36","10.23","10.26","9.15","77.47M","-8.33%"
"Mar 31, 2021","10.21","10.40","10.47","10.05","29.83M","-1.35%"
"Mar 30, 2021","10.35","10.31","10.52","9.76","39.02M","0.00%"
"Mar 29, 2021","10.35","10.32","10.76","10.09","37.33M","1.07%"
"Mar 26, 2021","10.24","11.27","11.53","10.01","84.63M","-6.40%"
"Mar 25, 2021","10.94","8.96","11.31","8.95","131.19M","21.29%"
"Mar 24, 2021","9.02","10.82","11.21","8.93","81.85M","-15.38%"
"Mar 23, 2021","10.66","11.46","11.93","10.37","87.92M","-14.65%"
"Mar 22, 2021","12.49","13.15","13.19","11.76","88.76M","-10.34%"
"Mar 19, 2021","13.93","14.14","14.18","13.28","153.21M","-0.50%"
"Mar 18, 2021","14.00","14.34","14.54","13.57","122.21M","3.24%"
"Mar 17, 2021","13.56","13.24","13.66","13.00","78.05M","4.15%"
"Mar 16, 2021","13.02","13.62","13.62","12.34","125.97M","-7.26%"
"Mar 15, 2021","14.04","12.18","14.49","11.85","278.97M","25.81%"
"Mar 12, 2021","11.16","10.16","11.40","9.94","111.15M","8.56%"
"Mar 11, 2021","10.28","10.65","10.87","9.90","83.93M","4.37%"
"Mar 10, 2021","9.85","11.02","12.47","9.51","261.92M","-6.19%"
"Mar 09, 2021","10.50","9.38","10.77","9.22","150.42M","13.02%"
"Mar 08, 2021","9.29","8.53","9.48","8.31","114.34M","15.40%"
"Mar 05, 2021","8.05","8.08","8.27","7.63","59.73M","0.25%"
"Mar 04, 2021","8.03","8.25","8.59","7.50","77.82M","-6.41%"
"Mar 03, 2021","8.58","8.95","9.14","8.50","55.65M","-3.92%"
"Mar 02, 2021","8.93","9.14","9.40","8.51","78.14M","-2.72%"
"Mar 01, 2021","9.18","8.86","9.45","8.42","143.59M","14.61%"
"Feb 26, 2021","8.01","8.19","9.01","7.63","137.03M","-3.38%"
"Feb 25, 2021","8.29","10.89","11.00","7.85","445.72M","-8.80%"
"Feb 24, 2021","9.09","7.23","9.83","6.99","376.88M","18.05%"
"Feb 23, 2021","7.70","6.97","7.86","6.01","264.88M","17.56%"
