Date,Price,Open,High,Low,Vol.,Change %
"Apr 13, 2021",140.99,141.88,145.38,132,6.81M,-0.07%
"Apr 12, 2021",141.09,158.11,163.9,135.01,16.68M,-10.91%
"Apr 09, 2021",158.36,169.7,171.58,153,9.46M,-6.99%
"Apr 08, 2021",170.26,185.88,185.88,164.3,10.05M,-4.33%
"Apr 07, 2021",177.97,183.22,184.5,176.11,4.77M,-3.54%
"Apr 06, 2021",184.5,185.21,192,183.56,6.22M,-1.31%
"Apr 05, 2021",186.95,171,195,164.81,14.07M,-2.35%
"Apr 01, 2021",191.45,193.36,196.97,183.6,9.33M,0.86%
"Mar 31, 2021",189.82,197.5,199.46,187.11,8.39M,-2.39%
"Mar 30, 2021",194.46,187.5,204.3,182,17.09M,7.26%
"Mar 29, 2021",181.3,180.75,193.92,173.51,10.04M,0.17%
"Mar 26, 2021",181,197.68,218.93,163.26,37.43M,-1.50%
"Mar 25, 2021",183.75,123.49,187.5,116.9,50.96M,52.69%
"Mar 24, 2021",120.34,157.98,166.97,118.62,24.18M,-33.79%
"Mar 23, 2021",181.75,197.5,201.75,177.55,14.43M,-6.55%
"Mar 22, 2021",194.49,205.26,210.36,186.2,10.06M,-2.89%
"Mar 19, 2021",200.27,195.73,227,182.66,24.68M,-0.73%
"Mar 18, 2021",201.75,214,218.88,195.65,11.80M,-3.84%
"Mar 17, 2021",209.81,217.84,231.47,204,16.48M,0.79%
"Mar 16, 2021",208.17,203.16,220.7,172.35,35.42M,-5.44%
"Mar 15, 2021",220.14,277.52,283,206,24.23M,-16.77%
"Mar 12, 2021",264.5,275,295.5,262.27,25.85M,1.73%
"Mar 11, 2021",260,241.64,281.5,232.6,28.31M,-1.89%
"Mar 10, 2021",265,269.43,348.5,172,71.57M,7.33%
"Mar 09, 2021",246.9,217.71,249.85,208.51,39.10M,26.94%
"Mar 08, 2021",194.5,154.89,210.87,146.1,63.57M,41.21%
"Mar 05, 2021",137.74,128.17,151.53,127.5,30.73M,4.07%
"Mar 04, 2021",132.35,125,147.87,115.3,32.61M,6.58%
"Mar 03, 2021",124.18,122.51,127.75,113.12,19.27M,5.08%
"Mar 02, 2021",118.18,116.93,133.2,112.2,33.78M,-1.84%
"Mar 01, 2021",120.4,104.54,133.99,99.97,49.79M,18.34%
"Feb 26, 2021",101.74,117.46,142.9,86,92.19M,-6.43%
"Feb 25, 2021",108.73,169.56,184.68,101,150.31M,18.56%
"Feb 24, 2021",91.71,44.7,91.71,44.7,83.11M,103.94%
"Feb 23, 2021",44.97,44.97,46.23,40,7.57M,-2.24%
"Feb 22, 2021",46,46.69,48.51,42.4,19.48M,13.33%
"Feb 19, 2021",40.59,41.28,43.89,38.5,14.83M,-0.25%
"Feb 18, 2021",40.69,48.49,48.87,40.65,23.99M,-11.43%
"Feb 17, 2021",45.94,49.77,51.19,44.56,9.26M,-7.21%
"Feb 16, 2021",49.51,52.66,53.5,49.04,8.18M,-5.52%
"Feb 12, 2021",52.4,50.75,55.24,48.05,14.57M,2.54%
"Feb 11, 2021",51.1,50.01,55.32,48.22,13.06M,-0.20%
"Feb 10, 2021",51.2,50.77,62.83,46.55,36.46M,1.77%
"Feb 09, 2021",50.31,56.61,57,46.52,26.84M,-16.15%
"Feb 08, 2021",60,72.41,72.66,58.02,25.69M,-5.91%
"Feb 05, 2021",63.77,54.04,95,51.09,81.35M,19.20%
"Feb 04, 2021",53.5,91.19,91.5,53.33,62.43M,-42.11%
"Feb 03, 2021",92.41,112.01,113.4,85.25,42.70M,2.68%
"Feb 02, 2021",90,140.76,158,74.22,78.18M,-60.00%
"Feb 01, 2021",225,316.56,322,212,37.38M,-30.77%
"Jan 29, 2021",325,379.71,413.98,250,50.57M,67.87%
"Jan 28, 2021",193.6,265,483,112.25,58.82M,-44.29%
