Date,Price,Open,High,Low,Vol.,Change %
"Jun 14, 2021",14.66,14.57,16.03,13.62,96.50M,-2.46%
"Jun 11, 2021",15.03,14.6,16.26,13.43,142.81M,4.81%
"Jun 10, 2021",14.34,18.1,18.1,13.96,155.52M,-15.25%
"Jun 09, 2021",16.92,28.43,28.76,16.81,371.78M,-23.61%
"Jun 08, 2021",22.15,16.73,24.87,16.34,735.48M,85.82%
"Jun 07, 2021",11.92,9.45,11.96,9.38,125.34M,32.44%
"Jun 04, 2021",9,9.17,9.48,8.97,16.05M,0.67%
"Jun 03, 2021",8.94,10.03,10.45,8.56,48.73M,2.29%
"Jun 02, 2021",8.74,7.79,8.89,7.66,32.16M,13.07%
"Jun 01, 2021",7.73,7.65,7.97,7.57,8.57M,1.18%
"May 28, 2021",7.64,8.06,8.2,7.51,13.84M,-2.43%
"May 27, 2021",7.83,7.33,8.07,7.12,31.64M,6.82%
"May 26, 2021",7.33,7.04,7.55,6.99,8.08M,4.42%
"May 25, 2021",7.02,6.93,7.23,6.93,5.75M,1.45%
"May 24, 2021",6.92,6.91,7.04,6.82,5.71M,-0.14%
"May 21, 2021",6.93,7.13,7.3,6.92,7.44M,-2.81%
"May 20, 2021",7.13,6.86,7.18,6.76,9.34M,4.24%
"May 19, 2021",6.84,6.71,6.9,6.52,9.21M,-1.87%
"May 18, 2021",6.97,6.76,7.2,6.6,16.19M,2.20%
"May 17, 2021",6.82,7.55,7.92,6.59,38.56M,-8.70%
"May 14, 2021",7.47,7.35,7.68,7.18,7.97M,2.89%
"May 13, 2021",7.26,7.88,7.93,7.09,9.65M,-6.68%
"May 12, 2021",7.78,8,8.24,7.72,7.66M,-4.31%
"May 11, 2021",8.13,7.59,8.23,7.59,8.19M,-1.57%
"May 10, 2021",8.26,8.69,8.72,8.2,6.20M,-4.18%
"May 07, 2021",8.62,8.37,8.9,8.27,6.51M,4.74%
"May 06, 2021",8.23,8.71,8.77,8.15,8.48M,-6.90%
"May 05, 2021",8.84,9.08,9.13,8.72,6.65M,-2.43%
"May 04, 2021",9.06,9.26,9.35,8.55,10.10M,-2.48%
"May 03, 2021",9.29,10.19,10.58,9.21,16.00M,-5.69%
"Apr 30, 2021",9.85,9.88,10.47,9.72,17.44M,-3.15%
"Apr 29, 2021",10.17,11.25,11.77,9.94,68.33M,-3.14%
"Apr 28, 2021",10.5,9.5,11.21,9.36,86.44M,13.64%
"Apr 27, 2021",9.24,9.28,9.66,9.03,8.48M,0.22%
"Apr 26, 2021",9.22,8.99,9.45,8.85,12.27M,5.13%
"Apr 23, 2021",8.77,8.55,9.3,8.51,12.25M,3.18%
"Apr 22, 2021",8.5,9.06,9.4,8.5,12.72M,-6.08%
"Apr 21, 2021",9.05,8.52,9.29,8.07,23.88M,4.99%
"Apr 20, 2021",8.62,9.35,9.35,8.36,41.66M,-10.86%
"Apr 19, 2021",9.67,9.57,10.52,9.21,236.76M,9.64%
"Apr 16, 2021",8.82,7.36,10.03,7.23,249.10M,20.00%
"Apr 15, 2021",7.35,7.54,7.68,7.11,5.82M,-0.94%
"Apr 14, 2021",7.42,7.82,7.85,7.42,5.00M,-4.99%
"Apr 13, 2021",7.81,7.74,7.99,7.65,4.71M,-0.13%
"Apr 12, 2021",7.82,8.1,8.12,7.61,10.00M,-4.75%
"Apr 09, 2021",8.21,8.45,8.7,8.05,28.37M,-7.23%
"Apr 08, 2021",8.85,7.35,9.23,7.12,76.99M,20.41%
